employee_id,date,time,duration,zone,wd,department
acalzas001                    ,2016-06-13,60846,0,1-1                           ,Monday              , Engineering                  
acampo001                     ,2016-06-13,61441,0,1-1                           ,Monday              , Executive                    
agerard001                    ,2016-06-13,82717,0,1-1                           ,Monday              , Facilities                   
ahafon001                     ,2016-06-13,61347,0,1-1                           ,Monday              , Facilities                   
amorlun001                    ,2016-06-13,85454,0,1-1                           ,Monday              , Facilities                   
anardi001                     ,2016-06-13,61528,0,1-1                           ,Monday              , Security                     
anubarron001                  ,2016-06-13,60609,0,1-1                           ,Monday              , Engineering                  
apinckney001                  ,2016-06-13,61929,0,1-1                           ,Monday              , Engineering                  
aribera001                    ,2016-06-13,54094,0,1-1                           ,Monday              , Administration               
avico001                      ,2016-06-13,62107,0,1-1                           ,Monday              , Engineering                  
bfrente001                    ,2016-06-13,62167,0,1-1                           ,Monday              , Engineering                  
bhawelon001                   ,2016-06-13,61999,0,1-1                           ,Monday              , Facilities                   
bmullen001                    ,2016-06-13,61999,0,1-1                           ,Monday              , Facilities                   
bovan001                      ,2016-06-13,61556,0,1-1                           ,Monday              , Executive                    
bridenour001                  ,2016-06-13,62384,0,1-1                           ,Monday              , Engineering                  
btempestad001                 ,2016-06-13,60979,0,1-1                           ,Monday              , Engineering                  
cforluniau001                 ,2016-06-13,61347,0,1-1                           ,Monday              , Administration               
chawelon001                   ,2016-06-13,60921,0,1-1                           ,Monday              , Facilities                   
ckinney001                    ,2016-06-13,60270,0,1-1                           ,Monday              , Facilities                   
clais001                      ,2016-06-13,61355,0,1-1                           ,Monday              , Administration               
cmorluniau001                 ,2016-06-13,61929,0,1-1                           ,Monday              , Facilities                   
cshipp001                     ,2016-06-13,60609,0,1-1                           ,Monday              , Facilities                   
csolos001                     ,2016-06-13,62257,0,1-1                           ,Monday              , Information Technology       
cstaley001                    ,2016-06-13,53581,0,1-1                           ,Monday              , Facilities                   
cwhaley001                    ,2016-06-13,85266,0,1-1                           ,Monday              , Engineering                  
cwhelan001                    ,2016-06-13,60345,0,1-1                           ,Monday              , Information Technology       
dcoginian001                  ,2016-06-13,86379,0,2-1                           ,Monday              , Facilities                   
dscozzese001                  ,2016-06-13,52441,0,1-1                           ,Monday              , Facilities                   
earpa001                      ,2016-06-13,25020,0,1-1                           ,Monday              , Facilities                   
ebello001                     ,2016-06-13,86286,0,1-1                           ,Monday              , Information Technology       
edavies001                    ,2016-06-13,86121,0,1-1                           ,Monday              , Facilities                   
eedward001                    ,2016-06-13,61803,0,1-1                           ,Monday              , Executive                    
eklinger001                   ,2016-06-13,63167,0,1-1                           ,Monday              , Administration               
eminto001                     ,2016-06-13,62167,0,1-1                           ,Monday              , Engineering                  
emintz001                     ,2016-06-13,52309,0,1-1                           ,Monday              , Executive                    
eorilla001                    ,2016-06-13,60199,0,1-1                           ,Monday              , Engineering                  
epavone001                    ,2016-06-13,61355,0,1-1                           ,Monday              , Administration               
fadair001                     ,2016-06-13,61355,0,1-1                           ,Monday              , HR                           
fbalas001                     ,2016-06-13,61782,0,1-1                           ,Monday              , Engineering                  
fkirchner001                  ,2016-06-13,85763,0,1-1                           ,Monday              , Facilities                   
fmata001                      ,2016-06-13,60790,0,1-1                           ,Monday              , Engineering                  
fresumir001                   ,2016-06-13,62585,0,1-1                           ,Monday              , Security                     
gcazar001                     ,2016-06-13,61528,0,1-1                           ,Monday              , Engineering                  
gflorez002                    ,2016-05-31,61310,0,1-1                           ,Tuesday             , Administration               
gflorez003                    ,2016-06-01,61354,0,1-1                           ,Wednesday           , Administration               
gflorez004                    ,2016-06-02,61357,0,1-1                           ,Thursday            , Administration               
gflorez005                    ,2016-06-13,61355,0,1-1                           ,Monday              , Administration               
hblue001                      ,2016-06-13,61556,0,1-1                           ,Monday              , Executive                    
hcocinaro001                  ,2016-06-13,61347,0,1-1                           ,Monday              , Security                     
hmies001                      ,2016-06-13,60979,0,1-1                           ,Monday              , Facilities                   
iarlotti001                   ,2016-06-13,85373,0,1-1                           ,Monday              , Information Technology       
ibarranco001                  ,2016-06-13,63167,0,1-1                           ,Monday              , Executive                    
ibaza001                      ,2016-06-13,85701,0,1-1                           ,Monday              , Information Technology       
iborrasca001                  ,2016-06-13,62107,0,1-1                           ,Monday              , Engineering                  
iovan001                      ,2016-06-13,62505,0,1-1                           ,Monday              , Information Technology       
jcastellanos001               ,2016-06-13,61347,0,1-1                           ,Monday              , Security                     
jfrost001                     ,2016-06-13,46800,0,1-1                           ,Monday              , Administration               
jholly001                     ,2016-06-13,58215,0,1-1                           ,Monday              , Administration               
jnespola001                   ,2016-06-13,61347,0,1-1                           ,Monday              , Security                     
jsanjorge001                  ,2016-06-13,65081,0,1-1                           ,Monday              , Executive                    
jsimonides001                 ,2016-06-13,61269,0,1-1                           ,Monday              , Engineering                  
junger001                     ,2016-06-09,37565,0,2-6                           ,Thursday            , Information Technology       
junger002                     ,2016-06-13,61528,0,1-1                           ,Monday              , Information Technology       
kherrero001                   ,2016-06-13,61630,0,1-1                           ,Monday              , Security                     
knielson001                   ,2016-06-13,60417,0,1-1                           ,Monday              , Engineering                  
korilla001                    ,2016-06-13,60417,0,1-1                           ,Monday              , Engineering                  
lalcazar001                   ,2016-06-03,58217,0,2-1                           ,Friday              , Information Technology       
lalcazar002                   ,2016-06-13,61630,0,1-1                           ,Monday              , Information Technology       
lazada001                     ,2016-06-13,62257,0,1-1                           ,Monday              , Engineering                  
lbagani001                    ,2016-06-13,85373,0,1-1                           ,Monday              , Information Technology       
lbennett001                   ,2016-06-13,62384,0,1-1                           ,Monday              , Facilities                   
lbergen001                    ,2016-06-13,60921,0,1-1                           ,Monday              , Information Technology       
lcarrara001                   ,2016-06-13,61355,0,1-1                           ,Monday              , Administration               
ldedos001                     ,2016-06-13,62505,0,1-1                           ,Monday              , Engineering                  
lgrogan001                    ,2016-06-13,61850,0,1-1                           ,Monday              , Engineering                  
llagos001                     ,2016-06-13,61086,0,1-1                           ,Monday              , Administration               
lorosco001                    ,2016-06-13,61670,0,1-1                           ,Monday              , Executive                    
malinai001                    ,2016-06-13,62107,0,1-1                           ,Monday              , Engineering                  
mbramar001                    ,2016-06-13,61355,0,1-1                           ,Monday              , Administration               
mcassano001                   ,2016-06-13,62167,0,1-1                           ,Monday              , Engineering                  
monda001                      ,2016-06-13,61999,0,1-1                           ,Monday              , Engineering                  
morlunv001                    ,2016-06-13,85701,0,1-1                           ,Monday              , Facilities                   
morlunv002                    ,2016-06-02,85521,0,1-1                           ,Thursday            , Facilities                   
mshultz001                    ,2016-06-13,61442,0,1-1                           ,Monday              , Security                     
mvollan001                    ,2016-06-13,61630,0,1-1                           ,Monday              , Security                     
nbasham001                    ,2016-06-13,61630,0,1-1                           ,Monday              , Facilities                   
ncalixto001                   ,2016-06-13,61630,0,1-1                           ,Monday              , Information Technology       
ncelio001                     ,2016-06-13,61803,0,1-1                           ,Monday              , Administration               
ostrum001                     ,2016-06-13,61670,0,1-1                           ,Monday              , Executive                    
pbeebe001                     ,2016-06-13,64262,0,1-1                           ,Monday              , HR                           
pbueno001                     ,2016-06-13,85853,0,1-1                           ,Monday              , Engineering                  
