employee_id;zone;wd;duration;time
acalzas001                    ;1-1                 ;Monday   ;66;26400
acalzas001                    ;1-1                 ;Monday   ;15;44221
acalzas001                    ;1-1                 ;Monday   ;56;46801
acalzas001                    ;1-1                 ;Monday   ;50;26160
acalzas001                    ;1-1                 ;Monday   ;13;42664
acalzas001                    ;1-1                 ;Monday   ;87;46381
acalzas001                    ;1-1                 ;Monday   ;51983;62197
acalzas001                    ;1-1                 ;Monday   ;;60846
acalzas001                    ;1-1                 ;Tuesday  ;21;43146
acalzas001                    ;1-1                 ;Tuesday  ;52496;61684
acalzas001                    ;1-1                 ;Tuesday  ;62;47101
acalzas001                    ;1-1                 ;Tuesday  ;96;27540
acalzas001                    ;1-1                 ;Tuesday  ;101;27780
acalzas001                    ;1-1                 ;Tuesday  ;15;42492
acalzas001                    ;1-1                 ;Tuesday  ;56;46261
acalzas001                    ;1-1                 ;Tuesday  ;53620;60080
acalzas001                    ;1-1                 ;Wednesday;52674;61506
acalzas001                    ;1-1                 ;Wednesday;52074;61926
acalzas001                    ;1-1                 ;Wednesday;132;27780
acalzas001                    ;1-1                 ;Wednesday;13;42697
acalzas001                    ;1-1                 ;Wednesday;62;45901
acalzas001                    ;1-1                 ;Wednesday;95;27300
acalzas001                    ;1-1                 ;Wednesday;7;43686
acalzas001                    ;1-1                 ;Wednesday;11;46801
acalzas001                    ;1-1                 ;Thursday ;93;27780
acalzas001                    ;1-1                 ;Thursday ;10;44226
acalzas001                    ;1-1                 ;Thursday ;56;48241
acalzas001                    ;1-1                 ;Thursday ;97;27600
acalzas001                    ;1-1                 ;Thursday ;53874;60186
acalzas001                    ;1-1                 ;Thursday ;10;42426
acalzas001                    ;1-1                 ;Thursday ;36;46441
acalzas001                    ;1-1                 ;Thursday ;52434;60246
acalzas001                    ;1-1                 ;Friday   ;16;43983
acalzas001                    ;1-1                 ;Friday   ;62;47221
acalzas001                    ;1-1                 ;Friday   ;223381;62219
acalzas001                    ;1-1                 ;Friday   ;99;27660
acalzas001                    ;1-1                 ;Friday   ;10;43337
acalzas001                    ;1-1                 ;Friday   ;56;46261
acalzas001                    ;1-1                 ;Friday   ;225054;60306
acalzas001                    ;1-1                 ;Friday   ;128;26280
acalzas001                    ;1-2                 ;Monday   ;2565;44236
acalzas001                    ;1-2                 ;Monday   ;3704;42677
acalzas001                    ;1-2                 ;Tuesday  ;3934;43167
acalzas001                    ;1-2                 ;Tuesday  ;3754;42507
acalzas001                    ;1-2                 ;Wednesday;3191;42710
acalzas001                    ;1-2                 ;Wednesday;3108;43693
acalzas001                    ;1-2                 ;Thursday ;4005;44236
acalzas001                    ;1-2                 ;Thursday ;4005;42436
acalzas001                    ;1-2                 ;Friday   ;3222;43999
acalzas001                    ;1-2                 ;Friday   ;2914;43347
acalzas001                    ;1-4                 ;Monday   ;41;26466
acalzas001                    ;1-4                 ;Monday   ;2;44219
acalzas001                    ;1-4                 ;Monday   ;41;46857
acalzas001                    ;1-4                 ;Monday   ;42;26210
acalzas001                    ;1-4                 ;Monday   ;2;42662
acalzas001                    ;1-4                 ;Monday   ;41;46468
acalzas001                    ;1-4                 ;Monday   ;2;60844
acalzas001                    ;1-4                 ;Monday   ;2;62195
acalzas001                    ;1-4                 ;Tuesday  ;2;61682
acalzas001                    ;1-4                 ;Tuesday  ;41;27636
acalzas001                    ;1-4                 ;Tuesday  ;2;43144
acalzas001                    ;1-4                 ;Tuesday  ;41;47163
acalzas001                    ;1-4                 ;Tuesday  ;41;27881
acalzas001                    ;1-4                 ;Tuesday  ;2;42490
acalzas001                    ;1-4                 ;Tuesday  ;41;46317
acalzas001                    ;1-4                 ;Tuesday  ;2;60078
acalzas001                    ;1-4                 ;Wednesday;32;46812
acalzas001                    ;1-4                 ;Wednesday;2;61504
acalzas001                    ;1-4                 ;Wednesday;2;61924
acalzas001                    ;1-4                 ;Wednesday;41;27912
acalzas001                    ;1-4                 ;Wednesday;2;42695
acalzas001                    ;1-4                 ;Wednesday;41;27395
acalzas001                    ;1-4                 ;Wednesday;41;45963
acalzas001                    ;1-4                 ;Wednesday;2;43684
acalzas001                    ;1-4                 ;Thursday ;42;27873
acalzas001                    ;1-4                 ;Thursday ;2;44224
acalzas001                    ;1-4                 ;Thursday ;41;48297
acalzas001                    ;1-4                 ;Thursday ;2;60184
acalzas001                    ;1-4                 ;Thursday ;41;27697
acalzas001                    ;1-4                 ;Thursday ;2;42424
acalzas001                    ;1-4                 ;Thursday ;41;46477
