timestamp prox-id floor-zone
2016-05-31 00:05:00 vawelon001 1-1
2016-05-31 00:20:00 earpa001 1-1
2016-05-31 02:26:40 earpa001 1-6
2016-05-31 02:31:41 vawelon001 1-6
2016-05-31 03:12:00 earpa001 1-1
2016-05-31 03:28:00 vawelon001 1-1
2016-05-31 05:57:40 earpa001 1-6
2016-05-31 05:57:41 vawelon001 1-6
2016-05-31 06:47:00 vawelon001 1-1
2016-05-31 06:59:00 earpa001 1-1
2016-05-31 07:00:00 ibarranco001 1-1
2016-05-31 07:00:00 jsanjorge001 1-1
2016-05-31 07:00:50 jsanjorge001 1-4
2016-05-31 07:00:51 ibarranco001 1-4
2016-05-31 07:01:32 ibarranco001 2-4
2016-05-31 07:01:32 jsanjorge001 2-4
2016-05-31 07:02:03 jsanjorge001 3-4
2016-05-31 07:02:03 ibarranco001 3-4
2016-05-31 07:02:05 jsanjorge001 3-1
2016-05-31 07:02:05 ibarranco001 3-1
2016-05-31 07:02:28 jsanjorge001 3-6
2016-05-31 07:15:00 knielson001 1-1
2016-05-31 07:15:00 btempestad001 1-1
2016-05-31 07:15:00 mbramar001 1-1
2016-05-31 07:15:50 knielson001 1-4
2016-05-31 07:15:54 btempestad001 1-4
2016-05-31 07:15:56 mbramar001 1-4
2016-05-31 07:16:00 ldedos001 1-1
2016-05-31 07:16:00 fbalas001 1-1
2016-05-31 07:16:00 ckinney001 1-1
2016-05-31 07:16:00 iborrasca001 1-1
2016-05-31 07:16:00 iovan001 1-1
2016-05-31 07:16:32 mbramar001 2-4
2016-05-31 07:16:32 knielson001 2-4
2016-05-31 07:16:34 knielson001 2-1
2016-05-31 07:16:36 btempestad001 2-4
2016-05-31 07:16:38 btempestad001 2-1
2016-05-31 07:16:55 btempestad001 2-2
2016-05-31 07:17:03 mbramar001 3-4
2016-05-31 07:17:05 mbramar001 3-1
2016-05-31 07:17:24 mbramar001 3-6
2016-05-31 07:17:38 iborrasca001 1-4
2016-05-31 07:17:38 iovan001 1-4
2016-05-31 07:17:38 fbalas001 1-4
2016-05-31 07:17:38 ckinney001 1-4
2016-05-31 07:17:38 ldedos001 1-4
2016-05-31 07:18:00 chawelon001 1-1
2016-05-31 07:18:00 lbennett001 1-1
2016-05-31 07:18:19 iborrasca001 2-4
2016-05-31 07:18:19 ldedos001 2-4
2016-05-31 07:18:19 fbalas001 2-4
2016-05-31 07:18:19 ckinney001 2-4
2016-05-31 07:18:19 iovan001 2-4
2016-05-31 07:18:21 fbalas001 2-1
2016-05-31 07:18:21 iovan001 2-1
2016-05-31 07:18:21 ckinney001 2-1
2016-05-31 07:18:21 ldedos001 2-1
2016-05-31 07:18:21 iborrasca001 2-1
2016-05-31 07:18:36 ckinney001 2-7
2016-05-31 07:18:36 iovan001 2-7
2016-05-31 07:18:37 ldedos001 2-2
2016-05-31 07:18:43 iborrasca001 2-6
2016-05-31 07:19:00 zcoronado001 1-1
2016-05-31 07:20:00 sflorez001 1-1
2016-05-31 07:20:00 yfinney001 1-1
2016-05-31 07:20:06 lbennett001 1-4
2016-05-31 07:20:06 zcoronado001 1-4
2016-05-31 07:20:06 chawelon001 1-4
2016-05-31 07:20:47 zcoronado001 2-4
2016-05-31 07:20:47 chawelon001 2-4
2016-05-31 07:20:47 lbennett001 2-4
2016-05-31 07:20:49 lbennett001 2-1
2016-05-31 07:20:49 chawelon001 2-1
2016-05-31 07:20:49 zcoronado001 2-1
2016-05-31 07:21:00 mcassano001 1-1
2016-05-31 07:21:00 cshipp001 1-1
2016-05-31 07:21:00 anubarron001 1-1
2016-05-31 07:21:00 avico001 1-1
2016-05-31 07:21:00 rfaralso001 1-1
2016-05-31 07:21:03 lbennett001 2-6
2016-05-31 07:21:04 zcoronado001 2-7
2016-05-31 07:21:04 chawelon001 2-7
2016-05-31 07:21:35 sflorez001 1-4
2016-05-31 07:21:35 yfinney001 1-4
2016-05-31 07:22:16 sflorez001 2-4
2016-05-31 07:22:16 yfinney001 2-4
